,问卷编号,调查员,民族,政治面貌,年级,您觉得自己是个典型的中国人吗,与世界其他国家的人相比中国人有自己的特点吗,v1,v2,v3,v4,你是否了解重活民族的传统节日,v5,您觉得中国怎么样,您认为中国有多少值得自豪的地方,您认为世界有多少比例的人尊重中国,对您而言作为一名中国人有多重要,会以中国人自豪吗,会隐瞒身份吗,会打多少分,国歌升起,世博会,中国传统文化,发展信心,你会为中国运动员呐喊助威,遇到灾难时中国人应该伸出援手,你愿意加入其他国籍吗,中国人要为祖国统一奋斗吗
10,381.0,倪磊,侗族,团员,大二,完全是,非常有特点,完全同意,完全同意,同意,同意,完全了解,比较了解,一般般,有一些,不多的比例,比较重要,无所谓,绝对不会,八十到一百,一般,感到自豪,富有内涵，意义深刻,很有信心,大多数情况下会,赞同,做外籍华人,赞同
11,382.0,倪磊,汉族,团员,大二,完全是,较有特点,同意,同意,同意,有点同意,比较了解,比较了解,挺好,很多,较多比例,十分重要,会,绝对不会,八十到一百,感到非常激动,感到自豪,比较肯定,很有信心,肯定会,赞同,不加入,很赞同
12,383.0,倪磊,汉族,团员,大二,可以算,非常有特点,完全同意,完全同意,有点同意,完全同意,比较了解,比较了解,十分棒,特别多,较多比例,十分重要,会,绝对不会,八十到一百,比较激动,感到自豪,富有内涵，意义深刻,很有信心,肯定会,赞同,其他,很赞同
13,384.0,倪磊,汉族,团员,大一,完全是,非常有特点,完全同意,完全同意,完全同意,同意,比较了解,比较了解,挺好,很多,较多比例,比较重要,会,绝对不会,八十到一百,一般,感到自豪,比较肯定,很有信心,大多数情况下会,很赞同,做外籍华人,赞同
14,385.0,倪磊,回族,群众,大二,可以算,较有特点,有点同意,完全同意,完全同意,完全同意,比较了解,比较了解,较差,有一些,较多比例,比较重要,会,绝对不会,六十到八十,一般,比较好,比较肯定,担忧不好说,大多数情况下会,赞同,毫不犹豫加入,赞同
15,386.0,倪磊,回族,团员,大二,可以算,较有特点,完全同意,完全同意,同意,同意,比较了解,比较了解,挺好,很多,不多的比例,十分重要,会,绝对不会,六十到八十,比较激动,感到自豪,比较肯定,很有信心,大多数情况下会,很赞同,做外籍华人,很赞同
16,387.0,倪磊,汉族,团员,大二,可以算,非常有特点,完全同意,完全同意,有点同意,同意,比较了解,比较了解,一般般,有一些,不多的比例,十分重要,有些,绝对不会,六十到八十,一般,感到自豪,富有内涵，意义深刻,很有信心,肯定会,很赞同,做外籍华人,很赞同
17,388.0,倪磊,汉族,团员,大二,完全是,非常有特点,完全同意,完全同意,完全同意,同意,比较了解,比较了解,十分棒,特别多,大多数比例,十分重要,会,绝对不会,八十到一百,感到非常激动,比较好,比较肯定,很有信心,肯定会,很赞同,不加入,很赞同
18,389.0,倪磊,苗族,团员,大二,完全是,较有特点,完全同意,完全同意,同意,不同意,比较了解,完全了解,挺好,很少,不多的比例,十分重要,会,绝对不会,六十到八十,比较激动,感到自豪,比较肯定,担忧不好说,肯定会,很赞同,做外籍华人,赞同
19,390.0,倪磊,土家族,团员,大二,可以算,非常有特点,完全同意,完全同意,同意,同意,比较了解,比较了解,挺好,特别多,较多比例,十分重要,会,绝对不会,八十到一百,比较激动,感到自豪,比较肯定,很有信心,肯定会,很赞同,不加入,很赞同
20,361.0,倪磊,汉族,群众,大一,完全是,较有特点,同意,完全同意,完全同意,有点同意,比较了解,比较了解,挺好,有一些,不多的比例,比较重要,无所谓,绝对不会,六十到八十,比较激动,感到自豪,比较肯定,不清楚,不一定,很赞同,其他,很赞同
21,362.0,倪磊,回族,团员,大三,可以算,非常有特点,完全同意,完全同意,完全同意,有点同意,比较了解,完全了解,挺好,有一些,较多比例,十分重要,会,绝对不会,八十到一百,比较激动,感到自豪,富有内涵，意义深刻,很有信心,肯定会,很赞同,不加入,很赞同
22,363.0,倪磊,回族,群众,大三,一般般,一般般,有点同意,同意,完全同意,完全同意,完全了解,比较了解,较差,很少,较多比例,一般般,会,可能会,零到二十,比较激动,一般,比较肯定,没信心,绝对不会,不赞同,其他,不一定
23,364.0,倪磊,回族,其他,大二,完全是,较有特点,有点同意,完全同意,完全同意,有点同意,不太了解,不太了解,一般般,有一些,大多数比例,比较重要,无所谓,也许会也许不会,八十到一百,感到非常激动,比较好,富有内涵，意义深刻,很有信心,肯定会,赞同,做外籍华人,赞同
24,365.0,倪磊,回族,团员,大二,可以算,较有特点,完全同意,同意,同意,有点同意,比较了解,完全了解,挺好,很少,大多数比例,比较重要,不会,可能会,四十到六十,感到非常激动,感到自豪,富有内涵，意义深刻,很有信心,肯定会,很赞同,做外籍华人,赞同
25,366.0,倪磊,壮族,党员,大二,一般般,毫无特点,不同意,有点同意,完全不同意,有点同意,完全了解,完全了解,较差,特别少,极少比例,一般般,不会,很可能不会,零到二十,没感觉,没感觉,富有内涵，意义深刻,没信心,绝对不会,不一定,毫不犹豫加入,赞同
26,367.0,倪磊,壮族,团员,大二,不太算,非常有特点,有点同意,完全同意,有点同意,完全同意,比较了解,比较了解,挺好,很多,不多的比例,十分重要,会,绝对不会,六十到八十,一般,感到自豪,富有内涵，意义深刻,担忧不好说,肯定会,很赞同,不加入,赞同
27,369.0,倪磊,汉族,团员,大二,一般般,非常有特点,完全不同意,完全同意,有点同意,完全同意,比较了解,比较了解,十分棒,特别多,不多的比例,十分重要,会,绝对不会,四十到六十,比较激动,感到自豪,富有内涵，意义深刻,很有信心,肯定会,很赞同,不加入,赞同
28,370.0,倪磊,苗族,团员,大二,完全是,非常有特点,完全同意,完全同意,同意,同意,比较了解,比较了解,十分棒,特别多,较多比例,十分重要,会,绝对不会,八十到一百,比较激动,感到自豪,富有内涵，意义深刻,很有信心,肯定会,很赞同,不加入,赞同
29,371.0,倪磊,汉族,团员,大一,一般般,较有特点,不同意,完全同意,有点同意,完全同意,比较了解,比较了解,较差,有一些,不多的比例,比较重要,有些,绝对不会,四十到六十,一般,比较好,比较肯定,担忧不好说,肯定会,很赞同,其他,很赞同
30,372.0,倪磊,彝族,群众,大二,一般般,较有特点,有点同意,不同意,不同意,完全不同意,比较了解,比较了解,挺好,特别少,极少比例,不太重要,不会,绝对不会,20~40,没感觉,一般,古板，跟不上潮流,没信心,不一定,赞同,毫不犹豫加入,很不赞同
31,373.0,倪磊,瑶族,群众,大二,可以算,较有特点,同意,同意,完全同意,同意,比较了解,比较了解,一般般,有一些,不多的比例,比较重要,有些,绝对不会,六十到八十,比较激动,比较好,富有内涵，意义深刻,没信心,大多数情况下会,不一定,其他,赞同
32,374.0,倪磊,土家族,团员,大二,完全是,非常有特点,完全同意,完全同意,完全同意,完全同意,完全了解,比较了解,十分棒,特别多,较多比例,十分重要,会,绝对不会,八十到一百,感到非常激动,感到自豪,富有内涵，意义深刻,很有信心,肯定会,很赞同,不加入,很赞同
33,375.0,倪磊,布依族,团员,大二,可以算,较有特点,完全同意,完全同意,有点同意,完全同意,比较了解,比较了解,较差,有一些,不多的比例,十分重要,有些,绝对不会,六十到八十,比较激动,感到自豪,富有内涵，意义深刻,很有信心,肯定会,很赞同,做外籍华人,很赞同
34,376.0,倪磊,壮族,团员,大二,完全是,非常有特点,完全同意,完全同意,完全同意,完全同意,比较了解,比较了解,十分棒,特别多,大多数比例,十分重要,会,绝对不会,八十到一百,感到非常激动,感到自豪,富有内涵，意义深刻,很有信心,肯定会,很赞同,不加入,很赞同
35,377.0,倪磊,汉族,团员,大二,完全是,较有特点,完全同意,完全同意,完全同意,完全同意,比较了解,比较了解,十分棒,特别多,较多比例,十分重要,会,绝对不会,八十到一百,感到非常激动,感到自豪,比较肯定,很有信心,肯定会,很赞同,不加入,很赞同
36,378.0,倪磊,汉族,团员,大二,完全是,较有特点,同意,同意,完全同意,完全同意,比较了解,比较了解,挺好,很多,较多比例,一般般,无所谓,也许会也许不会,四十到六十,感到非常激动,感到自豪,古板，跟不上潮流,担忧不好说,绝对不会,很赞同,毫不犹豫加入,很赞同
37,380.0,倪磊,藏族,团员,大二,一般般,非常有特点,完全同意,同意,有点同意,同意,比较了解,完全了解,一般般,有一些,大多数比例,比较重要,不太会,可能会,六十到八十,比较激动,比较好,比较肯定,不清楚,大多数情况下会,赞同,其他,赞同
38,241.0,凌灿,汉族,团员,大一,不太算,较有特点,完全同意,完全同意,有点同意,完全同意,比较了解,比较了解,一般般,有一些,不多的比例,比较重要,无所谓,很可能不会,六十到八十,一般,比较好,比较肯定,担忧不好说,大多数情况下会,赞同,不加入,赞同
39,242.0,凌灿,回族,团员,大一,完全是,较有特点,有点同意,完全同意,完全同意,完全同意,完全了解,比较了解,较差,很多,大多数比例,一般般,有些,可能会,六十到八十,比较激动,比较好,比较肯定,很有信心,肯定会,赞同,做外籍华人,赞同
40,243.0,凌灿,汉族,团员,大一,完全是,非常有特点,完全同意,完全同意,完全同意,完全同意,完全了解,比较了解,十分棒,特别多,大多数比例,十分重要,会,绝对不会,八十到一百,感到非常激动,感到自豪,比较肯定,很有信心,肯定会,很赞同,不加入,很赞同
41,244.0,凌灿,汉族,团员,大一,可以算,非常有特点,完全同意,完全同意,同意,同意,比较了解,比较了解,挺好,特别多,大多数比例,比较重要,有些,很可能不会,六十到八十,一般,比较好,比较肯定,担忧不好说,大多数情况下会,很赞同,做外籍华人,赞同
42,245.0,凌灿,汉族,团员,大一,完全是,较有特点,完全同意,完全同意,有点同意,同意,完全了解,比较了解,一般般,很多,大多数比例,比较重要,有些,绝对不会,六十到八十,比较激动,一般,比较肯定,担忧不好说,大多数情况下会,赞同,做外籍华人,赞同
43,246.0,凌灿,汉族,团员,大一,不太算,较有特点,有点同意,完全同意,不同意,完全同意,不太了解,不太了解,一般般,有一些,极少比例,一般般,无所谓,绝对不会,六十到八十,感到非常激动,一般,古板，跟不上潮流,担忧不好说,不一定,赞同,其他,很赞同
44,247.0,凌灿,布依族,团员,大一,完全是,较有特点,同意,完全同意,有点同意,完全同意,不太了解,比较了解,挺好,很多,较多比例,十分重要,会,绝对不会,八十到一百,感到非常激动,感到自豪,比较肯定,很有信心,大多数情况下会,赞同,其他,不一定
45,248.0,凌灿,藏族,团员,大二,完全是,较有特点,同意,同意,同意,同意,比较了解,比较了解,十分棒,很多,不多的比例,比较重要,会,绝对不会,八十到一百,比较激动,感到自豪,比较肯定,很有信心,肯定会,赞同,做外籍华人,赞同
46,249.0,凌灿,藏族,团员,大一,完全是,一般般,同意,完全同意,完全同意,同意,完全了解,比较了解,十分棒,特别多,极少比例,比较重要,会,可能会,八十到一百,感到非常激动,一般,比较肯定,很有信心,不一定,赞同,不加入,赞同
47,250.0,凌灿,藏族,团员,大一,完全是,非常有特点,完全同意,同意,同意,完全同意,比较了解,比较了解,挺好,很多,较多比例,比较重要,会,绝对不会,六十到八十,比较激动,感到自豪,比较肯定,很有信心,肯定会,很赞同,其他,赞同
48,251.0,凌灿,藏族,团员,大一,一般般,较有特点,同意,同意,有点同意,同意,比较了解,比较了解,挺好,很多,较多比例,比较重要,有些,也许会也许不会,六十到八十,比较激动,感到自豪,比较肯定,不清楚,大多数情况下会,很赞同,其他,赞同
49,252.0,凌灿,藏族,团员,大一,一般般,非常有特点,有点同意,完全不同意,有点同意,有点同意,比较了解,比较了解,一般般,特别多,不多的比例,一般般,不太会,也许会也许不会,六十到八十,比较激动,一般,比较肯定,不清楚,不一定,不一定,做外籍华人,赞同
50,253.0,凌灿,藏族,团员,大一,可以算,较有特点,同意,同意,有点同意,同意,比较了解,比较了解,一般般,很多,较多比例,一般般,无所谓,绝对不会,六十到八十,比较激动,比较好,比较肯定,担忧不好说,大多数情况下会,赞同,毫不犹豫加入,赞同
51,254.0,凌灿,土家族,团员,大一,可以算,较有特点,同意,同意,同意,有点同意,比较了解,比较了解,挺好,很多,较多比例,比较重要,有些,绝对不会,六十到八十,感到非常激动,感到自豪,富有内涵，意义深刻,很有信心,大多数情况下会,很赞同,不加入,很赞同
52,255.0,凌灿,汉族,团员,大一,可以算,较有特点,同意,同意,同意,同意,比较了解,不太了解,挺好,很多,不多的比例,比较重要,有些,绝对不会,六十到八十,比较激动,感到自豪,比较肯定,很有信心,大多数情况下会,赞同,做外籍华人,赞同
53,256.0,凌灿,回族,党员,大三,可以算,毫无特点,不同意,同意,有点同意,不同意,不太了解,不太了解,很差劲,特别少,较多比例,不太重要,不太会,绝对不会,零到二十,没感觉,没感觉,比较肯定,担忧不好说,大多数情况下会,不赞同,毫不犹豫加入,很不赞同
54,257.0,凌灿,维吾尔族,团员,大一,完全是,非常有特点,完全同意,完全同意,完全同意,完全同意,完全了解,完全了解,十分棒,特别多,大多数比例,比较重要,会,一定会,八十到一百,感到非常激动,感到自豪,富有内涵，意义深刻,很有信心,肯定会,很赞同,不加入,很赞同
55,258.0,凌灿,维吾尔族,团员,大一,一般般,一般般,完全同意,完全同意,同意,同意,比较了解,比较了解,十分棒,特别多,不多的比例,十分重要,会,绝对不会,八十到一百,感到非常激动,感到自豪,比较肯定,很有信心,肯定会,赞同,不加入,赞同
56,259.0,凌灿,回族,团员,大四,完全是,非常有特点,完全同意,同意,完全同意,同意,比较了解,比较了解,十分棒,很多,不多的比例,十分重要,会,绝对不会,八十到一百,感到非常激动,感到自豪,比较肯定,很有信心,肯定会,赞同,其他,很赞同
57,260.0,凌灿,汉族,团员,大四,可以算,较有特点,同意,同意,有点同意,同意,比较了解,比较了解,挺好,有一些,较多比例,比较重要,有些,绝对不会,六十到八十,比较激动,感到自豪,比较肯定,担忧不好说,大多数情况下会,很赞同,其他,赞同
58,261.0,凌灿,汉族,团员,大三,完全是,一般般,完全同意,完全同意,同意,同意,比较了解,比较了解,一般般,特别多,不多的比例,比较重要,会,很可能不会,六十到八十,比较激动,感到自豪,古板，跟不上潮流,很有信心,肯定会,很赞同,不加入,很赞同
59,262.0,凌灿,汉族,团员,大三,一般般,非常有特点,同意,完全同意,同意,同意,比较了解,完全了解,一般般,特别多,不多的比例,比较重要,会,很可能不会,六十到八十,比较激动,没感觉,比较肯定,很有信心,绝对不会,赞同,不加入,不赞同
60,263.0,凌灿,土家族,团员,大三,完全是,较有特点,完全同意,同意,完全同意,完全同意,比较了解,完全了解,十分棒,特别多,较多比例,比较重要,有些,绝对不会,六十到八十,感到非常激动,没感觉,比较肯定,很有信心,肯定会,赞同,做外籍华人,赞同
61,264.0,凌灿,汉族,其他,大三,可以算,非常有特点,完全同意,同意,完全同意,有点同意,比较了解,完全了解,十分棒,很多,不多的比例,十分重要,会,也许会也许不会,六十到八十,比较激动,一般,比较肯定,担忧不好说,大多数情况下会,赞同,做外籍华人,赞同
62,265.0,凌灿,汉族,团员,大三,完全是,非常有特点,完全同意,完全同意,完全同意,同意,比较了解,比较了解,挺好,很多,较多比例,十分重要,无所谓,可能会,六十到八十,比较激动,感到自豪,比较肯定,很有信心,肯定会,很赞同,其他,赞同
63,266.0,凌灿,彝族,团员,大三,完全是,较有特点,同意,完全同意,同意,同意,完全了解,比较了解,一般般,特别少,较多比例,比较重要,无所谓,绝对不会,八十到一百,感到非常激动,比较好,比较肯定,很有信心,大多数情况下会,很赞同,其他,很赞同
64,267.0,凌灿,汉族,党员,大四,可以算,较有特点,同意,完全同意,同意,有点同意,完全了解,比较了解,一般般,很多,较多比例,比较重要,有些,绝对不会,八十到一百,比较激动,一般,比较肯定,担忧不好说,肯定会,很赞同,做外籍华人,很赞同
65,268.0,凌灿,汉族,团员,大一,完全是,一般般,同意,同意,同意,同意,比较了解,比较了解,一般般,很多,较多比例,比较重要,有些,很可能不会,八十到一百,比较激动,一般,富有内涵，意义深刻,担忧不好说,肯定会,很赞同,不加入,很赞同
66,269.0,凌灿,藏族,团员,大二,一般般,较有特点,完全同意,同意,同意,同意,比较了解,完全了解,挺好,特别多,极少比例,比较重要,无所谓,也许会也许不会,八十到一百,比较激动,比较好,比较肯定,很有信心,大多数情况下会,赞同,毫不犹豫加入,赞同
67,270.0,凌灿,藏族,团员,大三,可以算,较有特点,完全同意,同意,同意,完全同意,比较了解,完全了解,一般般,很多,不多的比例,一般般,无所谓,也许会也许不会,六十到八十,感到非常激动,比较好,比较肯定,很有信心,不一定,赞同,其他,赞同
68,751.0,刘婷,维吾尔族,团员,大一,可以算,较有特点,完全同意,完全同意,完全同意,同意,比较了解,完全了解,十分棒,特别多,大多数比例,十分重要,会,绝对不会,八十到一百,感到非常激动,感到自豪,富有内涵，意义深刻,很有信心,肯定会,很赞同,不加入,很赞同
69,752.0,刘婷,维吾尔族,团员,大二,一般般,非常有特点,完全同意,完全同意,完全同意,完全同意,比较了解,完全了解,十分棒,特别多,大多数比例,十分重要,会,绝对不会,六十到八十,感到非常激动,比较好,富有内涵，意义深刻,很有信心,肯定会,很赞同,不加入,很赞同
70,753.0,刘婷,维吾尔族,团员,大二,一般般,一般般,同意,同意,同意,有点同意,完全了解,不太了解,较差,很多,大多数比例,一般般,会,一定会,20~40,感到非常激动,一般,富有内涵，意义深刻,没信心,大多数情况下会,不一定,其他,赞同
71,754.0,刘婷,维吾尔族,团员,大二,完全是,非常有特点,完全同意,完全同意,同意,同意,比较了解,比较了解,挺好,特别多,较多比例,比较重要,有些,绝对不会,八十到一百,感到非常激动,感到自豪,富有内涵，意义深刻,很有信心,肯定会,很赞同,不加入,很赞同
72,755.0,刘婷,哈萨克族,团员,大二,完全是,非常有特点,同意,完全同意,同意,不同意,比较了解,完全了解,挺好,很多,大多数比例,十分重要,会,绝对不会,八十到一百,一般,感到自豪,富有内涵，意义深刻,很有信心,肯定会,很赞同,其他,赞同
73,756.0,刘婷,维吾尔族,团员,大二,不太算,较有特点,同意,同意,同意,同意,不太了解,不太了解,挺好,很多,较多比例,比较重要,会,绝对不会,六十到八十,一般,比较好,富有内涵，意义深刻,很有信心,肯定会,赞同,毫不犹豫加入,赞同
74,757.0,刘婷,维吾尔族,团员,大一,完全是,非常有特点,完全同意,完全同意,完全同意,完全同意,比较了解,比较了解,挺好,很多,较多比例,十分重要,会,绝对不会,六十到八十,没感觉,感到自豪,富有内涵，意义深刻,很有信心,肯定会,很赞同,不加入,很赞同
75,758.0,刘婷,维吾尔族,其他,大一,完全是,非常有特点,同意,同意,同意,同意,比较了解,完全了解,挺好,很多,大多数比例,十分重要,会,一定会,八十到一百,感到非常激动,感到自豪,富有内涵，意义深刻,很有信心,肯定会,赞同,不加入,赞同
76,759.0,刘婷,汉族,团员,大二,可以算,较有特点,完全同意,同意,有点同意,完全同意,比较了解,比较了解,一般般,有一些,较多比例,十分重要,有些,很可能不会,六十到八十,比较激动,感到自豪,比较肯定,担忧不好说,不一定,赞同,其他,赞同
77,760.0,刘婷,蒙古族,团员,大一,完全是,非常有特点,完全同意,完全同意,同意,完全同意,不太了解,比较了解,挺好,很多,较多比例,十分重要,会,绝对不会,八十到一百,比较激动,感到自豪,比较肯定,很有信心,肯定会,很赞同,其他,很赞同
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,555.0,刘立,汉族,团员,大二,完全是,非常有特点,完全同意,完全同意,不同意,完全同意,不太了解,不太了解,挺好,很多,较多比例,一般般,无所谓,绝对不会,六十到八十,一般,感到自豪,富有内涵，意义深刻,很有信心,大多数情况下会,赞同,不加入,赞同
91,556.0,刘立,土家族,团员,大三,完全是,较有特点,完全同意,完全同意,完全同意,同意,不太了解,不太了解,挺好,有一些,较多比例,比较重要,有些,绝对不会,八十到一百,感到非常激动,感到自豪,富有内涵，意义深刻,很有信心,大多数情况下会,赞同,做外籍华人,很赞同
92,557.0,刘立,苗族,团员,大二,可以算,较有特点,同意,完全同意,有点同意,有点同意,不太了解,不太了解,一般般,很多,极少比例,不太重要,有些,可能会,零到二十,比较激动,一般,富有内涵，意义深刻,不清楚,不一定,赞同,做外籍华人,赞同
93,558.0,刘立,汉族,党员,大三,可以算,较有特点,同意,完全同意,同意,不同意,不太了解,比较了解,挺好,有一些,较多比例,一般般,不太会,绝对不会,六十到八十,一般,一般,比较肯定,很有信心,绝对不会,赞同,做外籍华人,不赞同
94,559.0,刘立,壮族,团员,大二,完全是,一般般,同意,同意,同意,完全同意,不太了解,不太了解,一般般,有一些,不多的比例,不太重要,有些,绝对不会,四十到六十,一般,一般,比较肯定,不清楚,肯定会,赞同,做外籍华人,赞同
95,560.0,刘立,汉族,团员,大三,一般般,较有特点,完全同意,同意,同意,同意,比较了解,比较了解,挺好,有一些,不多的比例,十分重要,会,绝对不会,四十到六十,比较激动,感到自豪,比较肯定,担忧不好说,肯定会,赞同,其他,很赞同
96,561.0,刘立,苗族,群众,大一,完全是,非常有特点,完全同意,完全同意,完全同意,完全不同意,不太了解,比较了解,十分棒,特别多,较多比例,十分重要,会,很可能不会,八十到一百,比较激动,感到自豪,比较肯定,很有信心,肯定会,很赞同,不加入,很赞同
97,562.0,刘立,汉族,团员,大一,可以算,较有特点,完全同意,完全同意,完全同意,有点同意,比较了解,比较了解,一般般,很多,较多比例,十分重要,有些,绝对不会,六十到八十,比较激动,感到自豪,古板，跟不上潮流,很有信心,肯定会,很赞同,其他,赞同
98,563.0,刘立,汉族,团员,大二,可以算,较有特点,同意,同意,同意,同意,完全了解,比较了解,一般般,有一些,不多的比例,比较重要,会,绝对不会,六十到八十,比较激动,比较好,比较肯定,很有信心,不一定,赞同,做外籍华人,赞同
99,564.0,刘立,土家族,团员,大二,可以算,较有特点,同意,同意,同意,同意,比较了解,比较了解,挺好,有一些,较多比例,比较重要,有些,绝对不会,六十到八十,比较激动,感到自豪,比较肯定,担忧不好说,大多数情况下会,赞同,其他,赞同
100,565.0,刘立,白族,团员,大四,完全是,较有特点,完全同意,完全同意,同意,完全同意,比较了解,比较了解,挺好,很多,较多比例,十分重要,会,绝对不会,六十到八十,感到非常激动,感到自豪,比较肯定,很有信心,肯定会,很赞同,其他,赞同
101,720.0,单凤香,土家族,团员,大一,完全是,非常有特点,完全同意,完全同意,完全同意,完全同意,比较了解,比较了解,十分棒,特别多,大多数比例,十分重要,会,绝对不会,八十到一百,比较激动,感到自豪,富有内涵，意义深刻,很有信心,肯定会,很赞同,不加入,很赞同
102,721.0,单凤香,回族,团员,大一,完全是,较有特点,完全同意,完全同意,有点同意,同意,比较了解,比较了解,挺好,很多,较多比例,十分重要,会,绝对不会,六十到八十,没感觉,感到自豪,富有内涵，意义深刻,很有信心,肯定会,很赞同,不加入,赞同
103,722.0,单凤香,汉族,团员,大一,完全是,较有特点,同意,完全同意,同意,完全同意,比较了解,比较了解,挺好,很多,较多比例,十分重要,会,绝对不会,六十到八十,比较激动,感到自豪,富有内涵，意义深刻,担忧不好说,不一定,很赞同,做外籍华人,赞同
104,723.0,单凤香,维吾尔族,团员,大一,一般般,较有特点,完全同意,同意,同意,同意,比较了解,比较了解,挺好,特别多,大多数比例,十分重要,会,绝对不会,六十到八十,一般,感到自豪,富有内涵，意义深刻,很有信心,肯定会,很赞同,不加入,很赞同
105,724.0,单凤香,汉族,团员,大一,一般般,非常有特点,完全同意,完全同意,完全同意,完全同意,完全了解,比较了解,十分棒,特别多,较多比例,十分重要,会,绝对不会,八十到一百,没感觉,感到自豪,富有内涵，意义深刻,很有信心,肯定会,很赞同,其他,很赞同
106,725.0,单凤香,壮族,团员,大一,一般般,较有特点,同意,完全同意,不同意,同意,比较了解,不太了解,挺好,很多,不多的比例,十分重要,会,绝对不会,六十到八十,一般,感到自豪,富有内涵，意义深刻,很有信心,肯定会,赞同,其他,赞同
107,726.0,单凤香,汉族,团员,大一,一般般,一般般,同意,完全同意,有点同意,完全不同意,比较了解,不太了解,一般般,有一些,不多的比例,比较重要,有些,绝对不会,八十到一百,一般,一般,富有内涵，意义深刻,不清楚,大多数情况下会,赞同,不加入,赞同
108,727.0,单凤香,藏族,团员,大一,完全是,较有特点,完全同意,完全同意,完全同意,同意,比较了解,比较了解,十分棒,特别多,大多数比例,十分重要,会,绝对不会,八十到一百,感到非常激动,感到自豪,富有内涵，意义深刻,很有信心,肯定会,很赞同,不加入,很赞同
